Catalyst,f4,f5,f6,f7,f8,f9,t
2,5.0,0.2,10,0.0,0.5,60,11.65
2,5.0,0.2,10,0.0,0.5,80,14.44
2,5.0,0.2,10,0.0,0.5,100,18.09
2,5.0,0.2,10,0.0,0.5,120,20.15
2,5.0,0.2,10,0.0,0.5,140,22.58
2,5.0,0.2,10,0.0,0.5,160,25.98
2,5.0,0.2,10,0.0,0.5,180,29.5
2,5.0,0.2,10,0.0,0.5,200,37.99
2,9.0,0.2,10,0.0,0.5,0,0.0
2,9.0,0.2,10,0.0,0.5,20,4.7
2,9.0,0.2,10,0.0,0.5,40,6.98
2,9.0,0.2,10,0.0,0.5,60,8.32
2,9.0,0.2,10,0.0,0.5,80,11.28
2,9.0,0.2,10,0.0,0.5,100,15.44
2,9.0,0.2,10,0.0,0.5,120,15.98
2,9.0,0.2,10,0.0,0.5,140,18.53
2,9.0,0.2,10,0.0,0.5,160,19.87
2,9.0,0.2,10,0.0,0.5,180,24.03
2,9.0,0.2,10,0.0,0.5,200,25.91
2,3.0,0.2,10,0.0,0.5,0,0.0
2,3.0,0.2,10,0.0,0.5,20,31.38
2,3.0,0.2,10,0.0,0.5,40,44.04
2,3.0,0.2,10,0.0,0.5,60,53.15
2,3.0,0.2,10,0.0,0.5,80,59.13
2,3.0,0.2,10,0.0,0.5,100,63.9
2,3.0,0.2,10,0.0,0.5,120,69.1
2,3.0,0.2,10,0.0,0.5,140,73.0
2,3.0,0.2,10,0.0,0.5,160,75.26
2,3.0,0.2,10,0.0,0.5,180,79.94
2,3.0,0.2,10,0.0,0.5,200,82.63
2,3.0,0.4,10,0.0,0.5,0,0.0
2,3.0,0.4,10,0.0,0.5,20,40.24
2,3.0,0.4,10,0.0,0.5,40,50.72
2,3.0,0.4,10,0.0,0.5,60,54.18
2,3.0,0.4,10,0.0,0.5,80,56.16
2,3.0,0.4,10,0.0,0.5,100,59.03
2,3.0,0.4,10,0.0,0.5,120,61.7
2,3.0,0.4,10,0.0,0.5,140,67.83
2,3.0,0.4,10,0.0,0.5,160,70.79
2,3.0,0.4,10,0.0,0.5,180,74.16
2,3.0,0.4,10,0.0,0.5,200,75.94
2,3.0,1.0,10,0.0,0.5,0,0.0
2,3.0,1.0,10,0.0,0.5,20,37.18
2,3.0,1.0,10,0.0,0.5,40,44.0
2,3.0,1.0,10,0.0,0.5,60,47.86
2,3.0,1.0,10,0.0,0.5,80,50.72
2,3.0,1.0,10,0.0,0.5,100,55.27
2,3.0,1.0,10,0.0,0.5,120,59.32
2,3.0,1.0,10,0.0,0.5,140,65.55
2,3.0,1.0,10,0.0,0.5,160,68.92
2,3.0,1.0,10,0.0,0.5,180,73.07
2,3.0,1.0,10,0.0,0.5,200,74.65
2,3.0,0.2,10,0.0,0.5,0,0.0
2,3.0,0.2,10,0.0,0.5,20,31.38
2,3.0,0.2,10,0.0,0.5,40,44.04
2,3.0,0.2,10,0.0,0.5,60,53.15
2,3.0,0.2,10,0.0,0.5,80,59.13
2,3.0,0.2,10,0.0,0.5,100,63.9
2,3.0,0.2,10,0.0,0.5,120,69.1
2,3.0,0.2,10,0.0,0.5,140,73.0
2,3.0,0.2,10,0.0,0.5,160,75.26
2,3.0,0.2,10,0.0,0.5,180,79.94
2,3.0,0.2,10,0.0,0.5,200,82.63
2,3.0,0.2,10,0.0,1.0,0,0.0
2,3.0,0.2,10,0.0,1.0,20,37.19
2,3.0,0.2,10,0.0,1.0,40,50.18
2,3.0,0.2,10,0.0,1.0,60,58.74
2,3.0,0.2,10,0.0,1.0,80,65.43
2,3.0,0.2,10,0.0,1.0,100,71.04
2,3.0,0.2,10,0.0,1.0,120,74.68
2,3.0,0.2,10,0.0,1.0,140,78.02
2,3.0,0.2,10,0.0,1.0,160,80.28
